f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,label
0,6,4,4,142,4,4,3,2,0,3,0,67,2,1,1,2,0,1,0,0
1,48,2,4,770,0,2,1,1,0,1,0,22,2,1,0,2,0,0,0,1
3,12,4,7,390,0,3,1,2,0,2,0,49,2,1,0,1,1,0,0,0
0,42,2,3,848,0,3,1,2,2,3,1,45,2,2,0,2,1,0,0,0
0,24,3,0,734,0,2,2,2,0,3,3,53,2,2,1,2,1,0,0,1
3,36,2,7,869,4,2,1,2,0,3,3,35,2,2,0,1,1,1,0,0
3,24,2,3,533,2,4,2,2,0,3,1,53,2,1,0,2,0,0,0,0
1,36,2,1,813,0,2,1,2,0,1,2,35,2,0,0,3,0,1,0,0
3,12,2,4,562,3,3,1,0,0,3,0,61,2,1,0,1,0,0,0,0
1,30,4,0,747,0,0,3,3,0,1,2,28,2,1,1,3,0,0,0,1
1,12,2,0,190,0,1,2,1,0,0,2,25,2,0,0,2,0,0,0,1
0,48,2,9,700,0,1,2,1,0,3,1,24,2,0,0,2,0,0,0,1
1,12,2,4,287,0,2,0,1,0,0,2,22,2,1,0,2,0,1,0,0
0,24,4,0,149,0,4,3,2,0,3,2,60,2,1,1,1,0,0,0,1
0,15,2,0,232,0,2,1,1,0,3,2,28,2,0,0,2,0,0,0,0
0,24,2,4,183,1,2,3,1,0,1,2,32,2,1,0,1,0,0,0,1
3,24,4,4,464,4,4,3,2,0,3,1,53,2,1,1,2,0,0,0,0
0,30,0,9,852,4,1,1,2,0,2,2,25,0,1,2,2,0,0,0,0
1,24,2,1,903,0,4,3,1,0,1,3,44,2,2,0,3,0,1,0,1
3,24,2,4,608,2,4,2,2,0,1,2,31,2,1,0,2,1,1,0,0
3,9,4,0,401,0,2,3,2,0,3,2,48,2,1,2,2,0,1,0,0
0,6,2,4,498,2,2,1,2,0,2,0,44,2,0,0,2,1,0,0,0
0,10,4,0,422,0,1,0,2,0,2,0,48,2,0,1,1,1,0,1,0
1,12,4,1,322,1,1,2,2,0,3,1,44,2,1,0,2,0,0,0,0
3,10,4,3,387,4,2,1,3,0,0,2,26,2,1,1,2,0,0,1,0
0,6,2,3,222,0,2,0,2,0,1,0,36,0,1,0,1,0,1,0,0
3,6,0,4,10,0,4,3,3,0,3,2,39,2,1,0,1,0,0,0,0
2,12,1,4,9,3,2,2,1,0,2,0,42,2,0,1,2,0,0,0,0
1,7,2,4,463,0,2,2,2,2,1,0,34,2,1,0,2,0,0,0,0
0,60,3,9,808,0,4,2,2,0,3,3,63,2,1,1,2,0,1,0,1
1,18,2,9,349,3,1,2,3,0,2,0,36,0,1,0,2,0,1,0,0
0,24,2,3,682,0,2,1,2,0,1,2,27,1,1,0,2,0,0,0,0
1,18,2,0,768,1,2,1,2,0,1,2,30,2,1,1,2,0,1,0,0
3,12,4,9,178,4,4,3,2,0,3,3,57,2,0,0,1,0,0,0,0
2,12,2,3,253,0,1,3,1,0,0,1,33,0,1,0,3,0,1,0,0
1,45,4,4,725,0,1,3,2,0,1,1,25,2,1,1,1,0,0,0,1
3,48,4,7,776,0,2,0,2,0,2,3,31,0,2,0,2,0,1,0,0
2,18,2,4,391,0,2,3,2,1,1,0,37,1,1,0,2,0,0,0,1
2,10,2,5,163,0,2,1,2,0,1,2,37,2,1,0,2,0,1,0,0
1,9,2,4,15,0,2,3,2,0,2,0,24,2,1,0,2,0,0,0,0
3,30,2,4,447,2,4,3,2,0,1,2,30,0,1,0,3,0,0,0,0
1,12,2,4,138,2,2,2,0,0,0,2,26,2,1,0,2,0,1,0,0
1,18,3,6,781,0,2,1,2,0,3,0,44,2,1,0,1,1,1,0,0
0,30,4,1,779,1,3,0,3,0,3,2,24,2,0,1,2,0,0,0,0
0,48,4,1,777,0,4,3,1,0,3,3,58,1,2,1,1,0,0,0,1
3,11,4,0,230,0,1,3,1,0,3,2,35,2,1,1,3,0,0,0,0
3,36,2,4,434,2,4,3,2,0,3,2,39,2,1,0,2,0,0,0,0
0,6,2,1,213,2,0,0,1,0,1,1,23,2,0,0,0,0,1,0,0
3,11,4,0,821,0,2,0,2,0,3,1,39,2,1,1,1,0,0,0,0
3,12,2,4,388,1,2,3,1,1,1,0,28,2,1,0,2,0,0,0,0
1,24,3,3,447,4,1,3,2,0,1,1,29,0,1,0,1,0,0,0,0
1,27,3,1,772,0,4,0,2,0,1,2,30,2,1,1,3,0,1,0,0
3,12,2,4,177,0,2,2,2,0,1,2,25,2,1,0,2,0,0,0,0
3,18,2,1,598,4,2,1,2,0,0,1,31,2,1,0,2,0,1,0,0
1,36,3,0,419,0,4,3,2,0,3,3,57,0,2,1,2,0,1,0,1
3,6,1,0,64,4,2,0,2,2,1,0,26,1,1,0,1,1,0,0,0
1,12,2,4,797,4,0,1,2,0,0,3,52,2,1,0,3,0,1,0,1
3,36,4,4,876,0,2,1,1,0,1,2,31,1,1,1,2,0,0,0,0
2,18,2,0,366,0,4,2,1,0,1,2,23,2,1,0,3,0,0,0,0
0,36,4,3,783,0,1,3,1,1,3,3,23,2,0,1,1,0,1,0,1
1,9,2,9,229,0,2,1,3,0,0,0,27,0,1,0,2,0,1,0,0
1,15,4,4,275,4,4,3,2,2,3,0,50,2,1,1,2,0,1,0,0
1,36,0,9,364,0,4,3,2,0,3,3,61,2,2,0,3,0,1,0,1
1,48,0,9,912,0,2,1,2,0,1,2,25,2,1,0,2,0,1,0,1
3,24,2,4,580,0,1,3,1,0,3,1,26,2,1,0,2,0,1,0,0
3,27,2,6,746,4,4,3,2,0,3,1,48,2,1,3,2,1,1,0,0
3,12,2,4,410,0,1,1,1,0,1,2,29,0,1,0,2,0,0,0,0
1,12,2,0,107,3,2,3,3,0,0,0,22,2,1,0,2,0,0,0,0
3,36,2,7,325,0,2,3,2,0,3,3,37,1,2,0,2,0,1,0,1
3,36,2,4,459,4,2,3,1,0,3,2,25,2,1,0,2,0,0,0,0
3,36,2,1,854,0,2,0,1,0,1,1,30,0,1,0,2,0,0,0,0
3,7,4,4,51,4,4,3,2,0,1,1,46,2,0,1,1,0,1,0,0
0,8,4,2,140,0,4,2,2,0,3,3,51,0,2,1,3,1,1,0,0
1,42,4,9,771,0,3,1,1,0,0,0,41,0,1,1,1,0,0,0,0
0,36,2,7,370,4,4,3,2,0,3,3,40,2,1,0,3,0,1,0,1
0,12,4,1,270,0,4,3,2,0,3,3,66,2,2,1,3,0,0,0,0
0,42,2,4,674,0,1,3,2,0,2,2,34,2,1,0,2,0,0,0,1
1,11,3,4,726,0,3,1,2,0,3,1,51,2,1,0,2,0,0,0,0
3,54,0,1,875,4,2,1,2,0,1,1,39,2,1,0,1,1,0,0,0
1,30,2,3,657,0,1,1,3,0,0,1,22,2,1,0,2,0,0,0,0
3,24,2,4,769,4,1,0,1,0,0,2,44,2,1,1,2,0,1,0,1
3,15,2,4,157,2,4,3,2,0,2,1,47,1,1,0,2,0,1,0,0
3,18,2,9,288,1,2,2,1,0,3,1,24,2,0,0,1,0,0,0,0
0,24,2,2,315,0,4,3,1,2,3,0,58,2,1,0,1,0,1,0,0
0,10,2,4,438,0,4,2,2,0,3,0,52,2,1,0,1,0,0,0,0
3,12,4,9,235,0,2,3,1,2,1,0,29,2,1,1,3,0,1,0,0
1,18,4,3,190,0,1,3,1,0,0,1,27,2,1,1,2,0,0,0,0
1,36,2,7,904,1,2,0,2,0,3,3,47,2,2,0,2,1,1,0,1
0,18,2,0,425,1,3,3,2,0,2,2,30,2,1,0,3,1,1,0,0
0,12,0,6,128,0,3,3,2,0,2,0,28,2,1,1,2,0,0,0,1
3,12,4,4,24,0,4,3,2,0,3,0,56,2,1,0,2,0,0,0,0
0,12,4,1,233,0,4,3,2,0,2,0,54,2,1,0,2,0,0,0,0
3,12,4,4,67,4,4,3,1,0,2,1,33,0,1,0,1,1,0,0,1
2,24,4,3,636,4,4,3,2,1,3,3,20,2,0,1,2,0,0,0,0
1,12,2,0,200,3,4,3,2,0,3,0,54,2,1,0,2,0,1,0,0
1,54,0,9,919,0,1,2,2,0,3,3,58,2,0,0,2,0,1,0,1
3,12,4,7,377,4,3,3,1,0,1,2,61,2,1,0,2,0,0,0,0
1,18,2,9,494,1,2,3,2,0,3,2,34,2,1,0,2,0,0,0,0
1,36,4,4,448,0,4,3,2,0,3,0,36,2,1,0,2,0,0,0,0
1,20,3,1,816,4,3,2,2,0,3,1,36,0,0,1,3,1,1,0,0
3,24,2,0,250,1,4,3,3,0,3,0,41,2,0,0,1,0,0,0,0
1,36,2,4,441,0,3,3,2,0,3,2,24,2,0,0,2,0,0,0,0
3,6,3,4,92,0,2,2,1,0,1,0,24,2,1,0,2,0,0,0,0
1,9,4,3,350,0,3,3,2,0,2,2,35,2,0,0,2,0,1,0,0
3,12,2,1,468,4,1,1,3,0,3,2,26,2,0,0,2,0,1,0,0
1,24,4,2,898,0,2,1,2,1,2,2,39,2,1,1,3,1,1,0,1
3,18,1,0,796,0,4,1,2,0,3,3,39,0,1,1,3,1,1,0,1
1,12,2,0,775,0,3,1,2,0,1,2,32,2,1,0,2,0,0,0,0
0,24,2,3,841,4,1,0,1,0,1,1,30,2,1,0,2,0,1,1,0
1,14,2,9,234,2,4,0,3,0,1,0,35,2,1,0,2,0,1,0,0
1,6,3,9,246,1,4,0,0,0,1,2,31,0,1,1,2,1,0,0,0
2,15,2,7,8,0,1,3,1,0,3,1,23,2,0,0,2,0,1,0,0
1,18,2,0,784,0,3,2,2,0,2,0,28,2,0,0,1,0,0,0,0
3,36,4,0,846,0,2,3,1,0,1,0,25,1,1,1,2,0,1,0,1
0,12,2,4,307,2,4,2,3,0,0,0,35,2,1,0,2,0,0,0,0
3,48,4,4,629,4,4,3,2,0,0,0,47,2,1,0,2,0,1,0,0
0,42,2,4,820,4,3,3,1,0,2,2,30,2,1,0,3,0,1,0,1
0,10,4,3,399,4,1,1,1,1,2,0,27,2,0,1,2,0,0,1,0
0,33,4,3,698,2,2,0,1,0,3,2,23,2,1,1,2,0,0,0,1
1,12,4,0,454,2,3,2,0,0,2,2,36,2,1,0,3,0,1,0,0
0,21,2,4,329,0,2,2,1,0,1,0,25,2,1,1,2,0,1,0,1
3,24,4,1,663,0,4,3,1,0,1,2,41,2,0,1,3,0,1,0,0
3,12,2,3,317,0,2,2,2,0,1,0,24,2,0,0,1,0,0,0,0
2,10,4,0,63,0,4,3,2,0,3,3,63,2,2,1,2,0,1,0,0
1,18,2,3,352,4,1,3,1,0,2,0,27,2,0,0,2,0,0,0,1
0,12,4,0,396,0,2,3,2,0,1,1,30,2,1,1,2,0,0,0,0
0,12,2,4,44,0,2,3,3,0,1,0,40,2,1,0,1,0,0,0,0
1,12,2,6,28,0,2,3,2,0,1,2,30,2,1,0,2,0,0,0,1
1,12,4,1,335,0,0,3,2,0,1,2,34,2,1,1,3,0,1,0,0
0,12,4,0,616,0,2,2,1,1,1,0,29,2,1,1,2,0,0,0,1
1,48,2,0,861,4,3,0,1,0,1,2,24,2,1,0,2,0,0,0,0
0,36,3,7,812,0,2,3,2,0,2,1,29,1,1,0,2,0,1,0,1
3,15,2,3,508,0,1,1,2,0,2,1,27,0,1,1,1,0,0,0,0
3,18,2,3,373,0,2,3,2,0,3,3,47,0,2,1,2,0,0,0,0
3,60,2,4,882,1,3,1,1,0,3,0,21,2,1,0,2,0,1,0,0
3,12,4,4,170,4,4,3,1,0,1,0,38,2,1,1,2,0,1,0,0
3,27,3,1,863,3,2,1,2,0,1,2,27,2,1,1,2,0,0,0,0
1,12,2,4,61,2,2,3,2,0,2,0,66,2,1,0,1,0,0,0,1
1,15,4,4,511,4,3,3,2,2,1,0,35,0,1,2,2,0,1,0,0
2,12,2,4,340,0,2,1,1,0,1,2,44,2,0,0,1,0,1,0,0
2,6,2,0,47,3,1,1,3,0,1,0,27,2,1,0,0,0,0,1,0
1,36,2,4,728,0,1,3,1,0,0,3,30,2,1,0,3,0,1,0,0
0,27,2,4,606,0,2,2,2,0,1,2,27,2,1,0,3,0,0,0,0
0,18,2,3,469,0,2,1,2,0,1,2,22,2,1,0,2,0,0,0,1
3,21,4,3,432,0,1,3,1,0,3,1,23,2,1,0,2,0,1,0,0
1,48,1,9,625,1,3,3,2,0,1,2,30,2,1,0,2,0,0,0,0
0,6,4,0,74,0,4,0,1,0,3,3,39,2,1,1,2,0,1,0,0
3,12,4,0,37,1,3,3,1,0,2,2,51,2,1,1,2,0,1,0,0
0,36,4,3,752,0,2,2,2,2,1,1,28,2,1,1,2,0,0,0,0
3,18,4,4,293,3,4,3,2,0,3,2,46,2,1,1,2,0,0,0,0
3,6,2,4,211,1,4,1,2,0,3,3,42,0,2,0,2,1,1,0,0
3,10,2,4,352,0,2,0,2,0,3,1,38,2,1,0,2,0,1,1,0
2,36,2,4,767,0,2,3,2,0,0,2,24,2,1,0,2,0,0,0,0
1,24,4,1,842,3,4,1,1,0,3,3,29,2,0,0,2,0,0,0,0
1,24,3,9,814,1,3,3,2,0,3,2,36,2,0,0,3,0,1,0,0
0,12,2,3,183,0,2,1,1,0,3,2,20,2,0,0,2,0,0,0,1
0,9,4,6,187,1,4,2,2,2,3,0,48,2,1,1,2,1,0,1,0
0,12,1,8,3,0,4,3,3,0,0,2,45,0,1,0,1,0,0,0,0
1,24,2,0,618,1,3,1,2,0,2,2,38,0,1,1,2,0,1,0,0
3,6,4,4,345,4,2,0,2,0,1,0,34,2,1,1,1,1,0,0,0
3,24,4,4,538,1,4,2,2,0,3,0,36,2,1,0,2,1,1,0,0
3,18,4,0,118,0,1,3,1,0,0,1,30,2,1,1,2,0,0,0,0
3,15,2,5,177,2,3,3,2,0,2,1,36,2,1,1,2,0,1,0,0
1,10,2,0,825,0,0,1,2,0,3,3,70,0,2,0,3,0,1,0,0
3,36,2,0,85,2,4,3,2,0,3,1,36,2,1,0,2,0,0,0,0
3,6,2,3,550,2,2,0,2,0,1,2,32,2,1,0,2,0,1,0,0
0,18,2,3,132,0,0,3,1,0,1,2,33,2,1,0,2,0,0,0,1
1,11,2,3,292,3,1,3,1,0,0,0,20,2,1,0,2,0,0,0,0
3,24,2,3,676,0,3,1,1,0,3,1,25,2,0,0,2,0,1,0,0
1,24,4,9,357,0,4,3,0,0,3,0,31,2,1,1,2,0,1,0,1
0,15,0,0,97,0,4,3,2,0,2,2,33,2,0,1,2,1,0,0,1
3,12,2,3,60,0,2,3,1,0,0,0,26,2,1,0,2,0,1,0,0
1,24,3,3,386,0,0,2,1,0,1,1,34,2,1,0,3,0,1,0,1
1,8,2,4,237,0,2,3,2,2,1,0,33,2,1,0,2,0,0,1,0
0,21,3,7,605,0,1,1,2,0,0,1,26,2,1,1,2,0,0,0,1
3,30,1,1,834,4,0,3,1,0,0,0,53,0,1,0,3,0,1,0,1
0,12,2,3,485,0,2,1,0,0,0,2,42,2,1,0,2,0,0,0,0
0,6,4,4,2,2,4,3,2,0,3,2,52,2,1,1,2,0,0,0,0
3,12,2,4,367,0,3,3,2,0,1,2,31,2,0,1,3,1,1,0,0
0,21,4,0,19,0,4,3,2,0,3,0,65,2,1,1,2,0,0,0,0
3,36,3,9,877,0,1,0,0,0,0,2,28,2,1,1,2,0,0,0,1
1,36,3,9,706,0,2,1,0,0,1,0,30,1,1,1,3,0,1,0,1
0,21,1,0,302,4,2,3,2,0,1,1,40,2,1,1,1,1,0,0,1
3,24,4,3,653,3,2,3,2,0,3,0,50,2,1,0,2,0,1,0,0
1,18,4,0,78,0,4,3,2,0,3,2,36,0,1,0,2,1,1,0,1
3,15,4,4,216,0,2,3,2,0,1,1,31,2,1,1,2,0,0,0,0
1,9,1,1,742,0,4,1,1,0,3,3,74,0,2,0,3,1,1,0,1
1,16,4,0,143,0,0,1,2,0,2,2,68,2,2,2,0,0,1,0,0
0,12,2,4,36,1,3,3,3,0,0,1,20,2,1,0,2,0,0,0,1
1,18,0,3,588,0,2,0,1,0,3,2,33,0,1,1,2,0,1,0,0
3,24,2,9,713,3,2,1,2,0,2,1,54,2,1,2,3,0,1,0,1
1,48,0,9,659,1,3,3,2,0,3,3,34,2,2,0,1,1,0,0,1
1,27,2,9,669,0,2,3,2,0,1,2,36,2,1,0,2,1,1,0,1
3,6,2,4,393,0,3,1,3,0,1,0,29,2,0,0,2,0,0,0,0
1,45,2,4,559,1,2,3,2,2,3,1,21,2,0,0,2,0,0,0,1
1,9,4,7,261,0,4,1,1,0,2,2,34,2,1,1,3,0,1,0,1
3,6,4,4,226,0,2,0,1,0,0,2,28,2,1,1,2,0,1,0,0
1,12,2,3,98,1,1,3,1,0,3,2,27,0,0,3,2,0,0,0,1
1,24,2,1,519,4,4,3,2,0,3,3,36,0,2,0,2,0,1,0,0
1,18,3,3,699,0,4,3,0,0,2,3,40,2,1,0,3,0,1,0,1
3,9,4,7,93,2,4,3,2,0,1,2,52,2,1,1,2,0,1,0,0
0,12,2,0,141,0,2,3,3,0,2,0,27,2,1,0,1,0,0,0,0
3,27,3,9,741,0,3,2,2,0,3,2,26,2,1,1,2,0,0,0,0
0,12,2,8,83,0,3,3,3,0,3,1,21,2,0,0,2,0,0,0,1
3,12,4,0,259,0,4,3,2,0,0,0,38,2,1,1,1,1,0,0,0
0,30,4,1,887,0,4,2,2,0,3,3,38,2,2,2,3,1,1,0,0
3,12,4,3,357,0,4,3,2,0,3,0,43,2,1,2,2,0,1,0,0
1,12,4,5,240,0,3,3,2,0,2,1,26,2,1,0,2,0,0,0,0
0,24,2,9,800,0,2,1,3,0,1,2,21,1,1,0,1,0,0,0,0
3,12,2,1,236,3,3,2,2,0,1,1,55,2,1,0,2,0,0,1,0
3,9,4,4,566,4,2,0,2,0,1,0,33,2,1,1,2,1,0,0,0
3,36,2,4,658,4,4,1,1,0,3,0,45,2,1,0,1,0,1,0,0
0,27,0,9,749,0,0,1,2,0,3,1,50,1,1,1,2,0,1,0,1
2,30,3,9,348,0,4,3,2,0,3,0,66,2,1,0,3,0,1,0,1
3,36,4,4,592,4,4,3,2,0,1,2,51,2,1,0,2,0,1,0,0
1,6,4,8,92,4,3,0,1,0,2,1,39,2,1,1,1,0,0,0,0
0,18,0,9,570,0,3,2,2,0,0,1,31,0,1,0,2,0,1,0,0
2,36,2,4,667,0,2,1,2,0,1,0,23,2,1,0,2,0,1,0,0
0,24,2,3,557,0,2,1,0,0,1,0,24,2,0,0,1,0,0,0,0
3,10,2,0,218,0,2,1,1,0,3,2,64,2,1,0,2,0,1,0,0
1,12,2,4,25,0,1,3,3,2,0,0,26,0,1,0,1,0,0,0,0
0,12,2,7,150,4,2,3,1,0,3,1,23,0,0,0,2,0,1,0,0
3,12,2,4,45,0,2,3,2,0,1,0,30,0,1,1,2,0,0,0,0
3,24,3,9,550,4,2,3,2,0,3,0,32,2,1,1,2,1,1,0,0
3,15,2,1,718,0,2,2,2,0,1,2,30,2,1,0,2,0,1,0,0
3,36,0,6,493,0,2,3,2,0,1,2,27,2,1,1,2,0,0,0,0
1,48,2,4,890,3,3,0,2,1,1,3,27,0,1,1,2,0,1,0,1
0,12,2,3,847,0,4,3,2,0,3,3,53,2,2,0,3,0,1,0,1
3,9,2,4,254,0,3,3,2,0,1,2,22,2,1,0,2,0,0,0,1
0,24,2,3,577,0,1,3,2,0,0,3,22,0,2,0,2,0,0,0,0
2,36,2,4,692,0,2,3,2,0,1,2,26,2,1,0,2,0,0,0,1
3,9,2,0,475,2,4,1,2,0,3,3,51,2,2,0,1,0,0,0,0
3,12,2,4,403,1,3,2,2,0,0,3,35,2,1,0,2,0,0,0,0
1,18,2,4,75,0,2,3,3,2,1,0,25,2,1,0,1,0,0,0,0
3,4,4,4,279,0,3,1,2,0,0,0,42,2,1,2,1,1,0,0,0
0,24,2,4,327,0,0,3,2,0,1,2,30,1,1,0,3,1,0,0,1
1,6,2,0,913,4,0,0,2,0,1,1,23,2,1,0,0,0,1,0,1
1,21,2,9,522,1,4,3,0,0,1,2,61,0,0,1,1,0,0,0,1
3,12,4,4,189,0,2,3,1,0,1,1,35,2,1,1,2,0,0,0,0
0,30,2,4,479,0,4,0,2,2,2,1,39,2,1,0,2,1,0,0,0
0,24,2,0,86,4,4,3,1,0,1,2,29,0,1,0,2,0,0,0,1
3,6,2,4,297,0,3,2,2,0,1,1,51,2,1,0,2,1,0,0,0
0,48,0,1,715,0,4,2,2,0,3,3,24,2,2,1,2,1,0,0,1
3,12,4,9,144,0,2,2,1,0,1,0,27,2,1,1,2,0,0,0,0
3,12,1,8,611,2,2,3,1,0,2,0,35,2,1,0,1,1,0,0,0
3,24,2,9,176,0,3,3,2,0,0,0,25,2,1,0,2,0,1,0,0
3,12,4,4,48,0,4,3,2,0,3,0,52,2,1,2,2,0,0,0,0
3,6,0,0,153,1,2,3,2,0,0,3,35,0,0,0,2,0,0,1,0
